HID;PID;TIME_PERIOD;REF_AREA;HHC1;HHC2;HHC3;HHC3A;HHC3B;HHC4;HHC5;INDC1;INDC_RM_18_1;INDC_RM_18_2;INDC_RM_18_3;INDC_RM_18_4;INDC_RM_18_5;INDC_RM_18_6;INDC_RM_18_7;INDC_RM_18_8;INDC_RM_18_9;INDC_RM_18_10;INDC_RM_18_11;INDC_RM_18_12;INDC_RM_18_13;INDC_RM_18_14;INDC_RM_18_15;INDC_RM_18_16;INDC_RM_18_17;INDC_RM_18_18;INDC_RM_18_19;HHC6;HHC7;HHC8;HHC12;HHC12A;HHC12B;HHC12C;HHC12E;HHC12F;HHC12G;HHC9;HHC9A;HHC9B;HH9C;HH9D;HH9E;HH9F;HH9G;HH9H;HH9I;HH9J;HH9K;HH10;HH10A;HH10B;HH10C;HH10D;HH10E;HH10F;HH10G;HH10H;HHC11A;HH11A_1;HH11A_2;HHC11B;HH11B_1;HH11B_2;HHC11C;HH11C_1;HH11C_2;HHC11D;HH11D_1;HH11D_2;HHC11E;HH11E_1;HH11E_2;HHC11F;HH11F_1;HH11F_2;IND1;IND2;IND3;IND4;IND3_1;IND3_2;IND4_1;IND4_2;IND4_3;INDC3;INDC4;IND5;IND7_1;IND7_2;INDC5;IND8_1;IND8_2;IND8;INDC6;IND6_1;IND10;IND11;IND12;IND13;IND14;IDN15;IND15_2;IND16;IND16_2;IND17;IND17_2;IND17_3;IND17_4;IND18;IND19;INDC20;IND20;IND20_2;IND35;IND36;IND37;IND38;IND34_E;IND35_E;IND34_H;IND35_H;IND36_H;IND37_H;IND38_H;INDC7;INDC7_2;IND21;IND21_2;IND21_3;IND22;IND22_2;IND23_1;IND23_2;IND23_3;IND23_4;IND24;IND24_2;IND24_3;IND24_4;IND24_5;IND24_6;IND24_7;IND24_8;IND24_9;IND51;IND52;WGHT2;HHC12_imp;HHC12A_imp;HHC12B_imp;HHC12C_imp;HHC12E_imp;HHC12F_imp;HHC12G_imp;HHC9_imp;HHC9B_imp;HHC9A_imp;HHC11A_imp;HHC11C_imp;HHC11D_imp;IND15_imp;IND15_2_imp;IND19_imp;INDC20_imp;IND20_2_imp;IND35_imp;IND36_imp;IND37_imp;IND38_imp;IND34_E_imp;IND35_E_imp;IND34_H_imp;IND35_H_imp;IND36_H_imp;IND37_H_imp;IND38_H_imp;IND21_2_imp;IND21_3_imp;IND22_imp;IND24_imp;IND24_2_imp;IND24_3_imp;IND24_4_imp;IND24_5_imp;IND24_6_imp;IND24_7_imp;IND24_8_imp;IND24_9_imp
10172;1;2020;AT;4;2;0;0;0;2;2;1;0;11;51;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;1;1;-1;-1;3;-1;-1;3;3;1666,66666666666993;1;2;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;6;1;1;1;1;AT;3;4;1;-1;-1;-1;-1;1;86;32;20,0;3;3;1;2;1;2;3;1;25;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;2;1;3;2;-1;3;1;4;3;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;682,281982123987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10172;2;2020;AT;4;2;0;0;0;2;2;1;11;0;51;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;1;1;-1;-1;3;-1;-1;3;3;1666,66666666666993;1;2;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;6;1;1;1;1;AT;3;4;1;-1;-1;-1;-1;1;24;72;40,0;3;2;1;1;0;3;3;1;25;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;19;1;2;3;2;-1;3;3;3;3;3;-1;-1;-1;-1;-1;-1;-1;-1;21;2;682,281982123987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10187;1;2020;AT;2;13;0;0;0;0;2;1;0;11;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;-1;-1;-1;-1;-1;-1;-1;-1;4;3;2133,33333333332985;1;2;2;1;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;11;1;1;1;1;AT;3;4;1;-1;-1;-1;-1;1;24;54;38,5;3;2;1;1;0;3;3;1;25;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;7;3;1;2;2;-1;3;3;3;2;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;410,311756900714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10187;2;2020;AT;2;13;0;0;0;0;2;1;11;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;-1;-1;-1;-1;-1;-1;-1;-1;4;3;2133,33333333332985;1;2;2;1;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;12;1;1;1;1;AT;3;4;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;2;2;-1;-1;30;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;3;2;3;2;-1;5;1;5;5;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;410,311756900714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10263;1;2020;AT;4;3;0;0;0;2;2;1;0;11;51;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;-1;-1;-1;-1;-1;-1;-1;3;3;1666,66666666666993;1;2;2;2;2;2;1;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;3;4;16;-1;-1;-1;2;-1;-1;3;4;4,0;2;-1;-1;2;-1;-1;1;9;1;1;2;1;AT;2;4;1;-1;-1;-1;-1;1;25;13;43,0;3;3;1;1;0;3;3;1;30;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;9;2;2;3;2;-1;2;3;3;4;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;377,382248535181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10263;2;2020;AT;4;3;0;0;0;2;2;1;11;0;51;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;-1;-1;-1;-1;-1;-1;-1;3;3;1666,66666666666993;1;2;2;2;2;2;1;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;3;4;16;-1;-1;-1;2;-1;-1;3;4;4,0;2;-1;-1;2;-1;-1;2;8;1;1;1;1;AT;2;4;1;-1;-1;-1;-1;1;38;33;42,0;3;3;1;1;0;3;3;1;10;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;9;2;1;2;2;-1;3;3;5;5;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;377,382248535181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10278;1;2020;AT;2;15;0;0;0;0;2;1;0;11;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;-1;-1;-1;-1;-1;-1;-1;-1;1;2;1040,00000000000000;2;2;2;1;2;1;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;13;1;1;1;1;AT;3;4;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;2;2;-1;-1;60;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;1;2;3;2;-1;5;1;2;5;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;691,430061312333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10278;2;2020;AT;2;15;0;0;0;0;2;1;11;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;-1;-1;-1;-1;-1;-1;-1;-1;1;2;1040,00000000000000;2;2;2;1;2;1;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;14;2;1;1;2;AT;3;4;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;-9;-1;-1;-1;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;2;3;1;1;2;-1;5;5;5;5;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;691,430061312333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10294;1;2020;AT;3;1;1;1;1;0;2;1;0;11;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;1;1;1;1;3;3;3;3;3;1944,44444444444002;1;1;2;2;1;2;1;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;5;1;1;1;1;AT;1;1;1;-1;-1;-1;-1;1;69;24;50,0;3;3;1;1;0;2;1;1;25;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7;12;1;2;3;2;-1;3;5;1;4;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;395,563004109477;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10294;2;2020;AT;3;1;1;1;1;0;2;1;11;0;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;1;1;1;1;3;3;3;3;3;1944,44444444444002;1;1;2;2;1;2;1;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;6;2;2;2;2;AT;1;1;1;-1;-1;-1;-1;1;56;51;40,0;3;2;1;1;0;3;3;1;25;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;1;2;3;2;-1;5;5;3;5;3;-1;-1;-1;-1;-1;-1;-1;-1;21;2;395,563004109477;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10343;1;2020;AT;2;14;0;0;0;0;2;1;0;11;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;3;3;1666,66666666666993;1;2;2;1;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;13;1;1;1;1;AT;2;4;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;2;2;-1;-1;30;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;2;2;2;2;-1;5;2;4;4;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;1818,511152565130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10343;2;2020;AT;2;14;0;0;0;0;2;1;11;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;3;3;1666,66666666666993;1;2;2;1;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;12;1;1;1;1;AT;2;4;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;2;2;-1;-1;30;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;2;2;2;2;-1;3;2;4;4;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;1818,511152565130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10367;1;2020;AT;4;4;0;0;0;1;3;1;0;11;51;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;-1;-1;-1;-1;-1;-1;-1;3;4;1928,00000000000000;1;2;2;2;2;2;1;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;2;7;2;-1;-1,0;2;-1;-1;2;-1;-1;2;8;1;1;3;1;AT;1;2;1;-1;-1;-1;-1;1;70;13;5,0;3;3;2;2;5;1;1;1;26;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7;12;1;2;3;2;-1;3;2;3;3;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;2650,338150537060;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10367;2;2020;AT;4;4;0;0;0;1;3;1;11;0;51;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;-1;-1;-1;-1;-1;-1;-1;3;4;1928,00000000000000;1;2;2;2;2;2;1;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;2;7;2;-1;-1,0;2;-1;-1;2;-1;-1;1;8;6;1;6;6;AT;1;2;1;-1;-1;-1;-1;1;84;23;50,0;3;3;2;1;0;2;1;1;60;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7;12;2;2;3;2;-1;2;4;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;2650,338150537060;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10376;1;2020;AT;2;7;0;0;0;0;2;1;0;12;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;5;5;3733,33333333332985;1;2;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;5;1;1;1;1;AT;2;4;1;-1;-1;-1;-1;1;84;24;45,0;3;3;1;1;0;2;1;1;25;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7;12;1;2;3;2;-1;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;1250,865874391050;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10376;2;2020;AT;2;7;0;0;0;0;2;1;12;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;5;5;3733,33333333332985;1;2;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;5;1;1;1;1;AT;2;4;1;-1;-1;-1;-1;1;43;11;45,0;3;3;1;1;0;2;3;1;25;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;19;1;2;3;2;-1;1;3;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;12;2;1250,865874391050;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10378;1;2020;AT;2;7;0;0;0;0;2;1;0;11;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;5;4;3200,00000000000000;1;2;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;3;2;2,0;3;2;1;2;-1;-1;1;6;2;2;2;2;AT;3;4;2;2;1;-1;-1;1;28;11;42,0;3;3;1;1;0;2;2;1;25;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7;12;2;2;3;2;-1;3;3;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;1071,209605512940;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10378;2;2020;AT;2;7;0;0;0;0;2;1;11;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;5;4;3200,00000000000000;1;2;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;3;2;2,0;3;2;1;2;-1;-1;2;5;2;2;2;2;AT;3;4;1;-1;-1;-1;-1;1;25;33;38,5;3;3;1;1;0;2;3;1;25;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;8;2;2;2;2;-1;3;2;3;2;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;1071,209605512940;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10424;1;2020;AT;2;10;0;0;0;0;2;1;0;12;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;2;2;1266,66666666666993;1;2;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;8;1;1;1;1;AT;1;1;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;2;2;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;5;1;2;3;2;-1;3;3;1;1;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;2062,515820525410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10424;2;2020;AT;2;10;0;0;0;0;2;1;12;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;2;2;1266,66666666666993;1;2;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;8;1;1;1;1;AT;1;1;1;-1;-1;-1;-1;1;86;22;38,5;3;3;1;1;0;3;3;1;25;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;6;2;2;3;2;-1;1;4;1;2;3;-1;-1;-1;-1;-1;-1;-1;-1;12;2;2062,515820525410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10428;1;2020;AT;4;5;0;0;0;0;4;1;0;51;11;21;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7;4;1;-1;-1;-1;-1;-1;-1;-1;1;3;1000,00000000000000;1;2;2;2;2;1;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;10;4;1;4;4;AT;2;3;1;-1;-1;-1;-1;1;88;26;37,0;3;3;1;1;0;1;3;1;25;1;2,0;-1;-1;-1;-1;10;1;7;13;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7;12;2;2;3;2;-1;3;3;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;3221,146378466030;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10428;3;2020;AT;4;5;0;0;0;0;4;1;11;51;0;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7;4;1;-1;-1;-1;-1;-1;-1;-1;1;3;1000,00000000000000;1;2;2;2;2;1;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;10;1;1;1;1;AT;2;3;1;-1;-1;-1;-1;1;49;41;38,0;3;3;1;1;0;2;1;1;30;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;19;2;2;3;2;-1;2;4;3;3;2;1;1;2;2;2;2;2;2;12;1;3221,146378466030;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10453;1;2020;AT;2;9;0;0;0;0;2;1;0;12;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;5;4;3000,00000000000000;1;2;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;8;3;3;3;3;AT;1;1;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;2;2;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7;12;1;2;3;2;-1;4;3;3;3;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;1658,710605084500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10453;2;2020;AT;2;9;0;0;0;0;2;1;12;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;5;4;3000,00000000000000;1;2;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;7;6;6;6;6;AT;1;1;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;1;-1;-1;2;20;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;6;11;1;2;3;2;-1;3;3;3;3;3;-1;-1;-1;-1;-1;-1;-1;-1;12;2;1658,710605084500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10477;1;2020;AT;2;13;0;0;0;0;2;1;0;11;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;-1;-1;-1;-1;-1;-1;-1;-1;4;3;2066,66666666667015;2;2;2;1;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;11;1;1;3;1;AT;3;4;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;2;2;-1;-1;30;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;5;2;2;3;2;-1;5;1;4;3;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;676,408469630308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10477;2;2020;AT;2;13;0;0;0;0;2;1;11;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;-1;-1;-1;-1;-1;-1;-1;-1;4;3;2066,66666666667015;2;2;2;1;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;11;1;1;1;1;AT;3;4;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;2;2;-1;-1;30;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;9;3;2;3;2;-1;5;2;5;3;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;676,408469630308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
